Name	Region	Year	Fixed Acidity	Volatile Acidity	Citric Acid	Residual Sugar	Producer	Chlorides	Free Sulfur Dioxide	Total Sulfur Dioxide	Density	pH	Sulphates	Alcohol	Quality
Cho Rijo 2015	DOC Lisboa	2015	6.4	0.28	0.41	6.8	Adega Regional de Colares, C.R.L.	0.045	61	216	0.9952	3.09	0.46	9.4	5
Charamba 2001	DOC Douro	2001	6.4	0.28	0.43	7.1	Sociedade Agrcola e Comercial da Quinta da Aveleda, S.A.	0.045	60	221	0.9952	3.09	0.45	9.4	6
Charamba 2005	DOC Douro	2005	6.9	0.24	0.39	1.3	Sociedade Agrcola e Comercial da Quinta da Aveleda, S.A.	0.063	18	136	0.9928	3.31	0.48	10.4	7
Chardonnay for Escudo Rojo 2011	Chile	2011	5.8	0.36	0.26	3.3	Baron Philippe de Rothschild S.A.	0.038	40	153	0.9911	3.34	0.55	11.3	6
Charme 2010	DOC Douro	2010	6.6	0.18	0.28	3.3	Niepoort Vinhos, S.A.	0.044	18	91	0.993	3.42	0.64	10.8	6
Chteau Bellerose Figeac 2004	Frana	2004	5.8	0.36	0.26	3.3	S.C.E.A. Du Chateau Badette	0.038	40	153	0.9911	3.34	0.55	11.3	6
Chteau de Castres Graves 2010	Frana	2010	5.1	0.52	0.06	2.7	Chteau de Castres	0.052	30	79	0.9932	3.32	0.43	9.3	5
Chateau de la Coulerette Ctes de Provence 2009	Frana	2009	6.6	0.22	0.37	1.2	Famille Brechet	0.059	45	199	0.993	3.37	0.55	10.3	7
Chteau de la Roulerie Chenin Blanc 2011	Frana	2011	8.3	0.15	0.39	1.3	Chteau de la Roulerie	0.055	32	146	0.993	3.08	0.39	10.5	6
Chteau de la Roulerie Coteaux du Layon 1er Cru Chaume 2011	Frana	2011	7.6	0.16	0.44	1.4	Chteau de la Roulerie	0.043	25	109	0.9932	3.11	0.75	10.3	6
Chteau de L'Ecole Sauternes 2010	Frana	2010	7.7	0.16	0.41	1.7	SCEA Julie Gonet-Mdeville	0.048	60	173	0.9932	3.24	0.66	11.2	7
Chteau de L'Horte Rserve Spciale 2006	Frana	2006	8.3	0.16	0.48	1.7	Jean-Pierre Biard & Johanna van der Spek	0.057	31	98	0.9943	3.15	0.41	10.3	6
Chateau de Vaudieu Chateauneuf-du-Pape 2007	Frana	2007	6.2	0.25	0.47	11.6	Famille Brechet	0.048	62	210	0.9968	3.19	0.5	9.5	5
Chateau de Vaudieu Chateauneuf-du-Pape 2009	Frana	2009	6.1	0.16	0.27	12.6	Famille Brechet	0.064	63	162	0.9994	3.66	0.43	8.9	5
Chteau des Arroucats 2005	Frana	2005	7.6	0.39	0.22	2.8	Cheval Quancard	0.036	19	113	0.9926	3.03	0.29	10.2	5
Chteau des Erles Fitou 2002	Frana	2002	6.8	0.37	0.47	11.2	Franois Lurton SA	0.071	44	136	0.9968	2.98	0.88	9.2	5
Chateau Franc Couplet 2005	Frana	2005	7.6	0.16	0.44	1.4	Domaine Franc Couplet	0.043	25	109	0.9932	3.11	0.75	10.3	6
Chteau Gantonet 2002	Frana	2002	7.1	0.18	0.42	1.4	Socit Civile du Chteau Gantonet	0.045	47	157	0.9916	2.95	0.31	10.5	6
Chteau Haut Cabut 2007	Frana	2007	8.3	0.14	0.26	1.5	Chteau Haut Cabut	0.049	56	189	0.9946	3.21	0.62	9.5	6
Chateau La Couronne 2002	Frana	2002	8.6	0.2	0.42	1.5	Chteau La Couronne	0.041	35	125	0.9925	3.11	0.49	11.4	7
Chteau Lafon-Rochet 1985	Frana	1985	8.6	0.2	0.42	1.5	Domaine Lafon-Rochet	0.041	35	125	0.9925	3.11	0.49	11.4	7
Chteau Lalande-Borie 2001	Frana (DOC Saint-Julien)	2001	6.8	0.19	0.32	7.05	Jean-Eugne Borie	0.019	54	188	0.9935	3.25	0.37	11.1	8
Chateau L'Hospitalet La Reserve La Clape 2009	Frana	2009	7.6	0.19	0.38	10.6	Grard Bertrand	0.06	48	174	0.9962	3.13	0.38	10.5	6
Chateau Los Boldos Tradition Rserve Carmnre 2014	Chile	2014	6.8	0.34	0.74	2.8	Chateau Los Boldos	0.088	23	185	0.9928	3.51	0.7	12	6
Chateau Loupiac-Gaudiet 2004	Frana	2004	6.2	0.15	0.46	1.6	SCEA Marc Ducau, Daniel Sanfourche	0.039	38	123	0.993	3.38	0.51	9.7	6
Chateau Loupiac-Gaudiet 2011	Frana	2011	6.6	0.14	0.44	1.6	SCEA Marc Ducau, Daniel Sanfourche	0.042	47	140	0.993	3.32	0.51	10.2	6
Chteau Marjosse 2002	Frana (DOC Bordeaux)	2002	8	0.55	0.17	8.2	Pierre et Carole Lurton - Tizac de Curton	0.04	13	60	0.9956	3.09	0.3	9.5	4
Chteau Marjosse 2006	Frana	2006	7	0.24	0.35	1.5	Pierre et Carole Lurton - Tizac de Curton	0.052	51	128	0.9941	3.41	0.59	10.4	7
Chateau Megyer Tokaji Furmint 2008	Hungria	2008	6.3	0.6	0.44	11	Rkczi Pince	0.05	50	245	0.9972	3.19	0.57	9.3	4
Chateau Montelena Napa Valley Chardonnay 2014	EUA	2014	7.1	0.2	0.41	2.1	Chateau Montelena Winery	0.054	24	166	0.9948	3.48	0.62	10.5	6
Chteau Pailhas 2000	Frana	2000	6.2	0.34	0.29	7.6	S C E A Robin - Lafugie Propritaire	0.047	45	232	0.9955	3.35	0.62	10	6
Chteau Petit Village 1999	Frana	1999	7.1	0.3	0.36	6.8	S.N.C.E. Petit Village Propritaire	0.055	44.5	234	0.9972	3.49	0.64	10.2	6
Chateau Pigoudet Classic 2013	Frana	2013	7.1	0.3	0.36	6.8	S. C. Chteau Pigoudet	0.055	44.5	234	0.9972	3.49	0.64	10.2	6
Chteau Richet 1995	Frana	1995	7.9	0.64	0.46	10.6	Jimenez Bernard	0.244	33	227	0.9983	2.87	0.74	9.1	3
Chteau Sainte-Marie Vieilles Vignes 2007	Frana	2007	8.8	0.17	0.38	1.8	Chteau Sainte Marie	0.04	39	148	0.9942	3.16	0.67	10.2	6
Chteau Sainte-Marie Vieilles Vignes 2008	Frana	2008	7.5	0.17	0.37	1.5	Chteau Sainte Marie	0.06	18	75	0.9936	3.54	0.88	10.7	5
Cheda 2003	DOC Douro	2003	7.1	0.47	0.24	6	Lavradores de Feitoria, Vinhos de Quinta S.A.	0.044	11	77	0.9956	3.21	0.56	9.7	5
Cheval des Andes 2001	Argentina	2001	7.1	0.15	0.34	5.3	Bodega Terrazas de Los Andes	0.034	33	104	0.9953	3.37	0.52	9.3	7
Chocapalha Reserva 2007	Regional Lisboa	2007	7.5	0.17	0.34	1.4	Casa Agrcola das Mimosas, Lda	0.035	13	102	0.9918	3.05	0.74	11	5
Chocapalha Reserva 2009	Regional Lisboa	2009	8.2	0.68	0.3	2.1	Casa Agrcola das Mimosas, Lda	0.047	17	138	0.995	3.22	0.71	10.8	4
Chocapalha Vinha Me 2011	Regional Lisboa	2011	7.7	0.275	0.3	1	Casa Agrcola das Mimosas, Lda	0.039	19	75	0.992	3.01	0.56	10.7	5
Chryseia 2005	DOC Douro	2005	7.3	0.49	0.32	5.2	Symington Family Estates, Vinhos, Lda	0.043	18	104	0.9952	3.24	0.45	10.7	4
Churchill Estates 2002	DOC Douro	2002	7.5	0.33	0.48	19.45	Churchill Graham, Lda	0.048	55	243	1.001	2.95	0.4	8.8	5
Churchill Estates 2004	DOC Douro	2004	7.2	0.21	0.37	1.6	Churchill Graham, Lda	0.049	23	94	0.9924	3.16	0.48	10.9	7
Churchill Estates 2006	DOC Douro	2006	7.3	0.15	0.4	2	Churchill Graham, Lda	0.05	24	92	0.9932	3.14	0.45	10.5	5
Churchill's Estates Touriga Nacional 2007	DOC Douro	2007	6.5	0.19	0.1	1.3	Churchill Graham, Lda	0.046	23	107	0.9937	3.29	0.45	10	5
Churchill's Estates 2007	DOC Douro	2007	7	0.31	0.52	1.7	Churchill Graham, Lda	0.029	5	61	0.9918	3.07	0.43	10.4	5
Churchill's Estates 2008	DOC Douro	2008	8.3	0.4	0.38	1.1	Churchill Graham, Lda	0.038	15	75	0.9934	3.03	0.43	9.2	5
Churchill's Estates 2009	DOC Douro	2009	6.1	0.37	0.36	4.7	Churchill Graham, Lda	0.035	36	116	0.991	3.31	0.62	12.6	6
Churchill's Estates 2011	DOC Douro	2011	7.3	0.24	0.34	7.5	Churchill Graham, Lda	0.048	29	152	0.9962	3.1	0.54	9	5
Churchill's Estates 2017	DOC Douro	2017	6.9	0.21	0.81	1.1	Churchill Graham, Lda	0.137	52	123	0.9932	3.03	0.39	9.2	6
Churchill's Estates Grande Reserva 2007	DOC Douro	2007	7.6	0.29	0.42	1.3	Churchill Graham, Lda	0.035	18	86	0.9908	2.99	0.39	11.3	5
Churchill's Estates Grande Reserva 2009	DOC Douro	2009	9.4	0.29	0.55	2.2	Churchill Graham, Lda	0.05	17	119	0.9962	3.12	0.69	10.3	4
Churchill's Estates Grande Reserva 2012	DOC Douro	2012	7	0.31	0.52	1.7	Churchill Graham, Lda	0.029	5	61	0.9918	3.07	0.43	10.4	5
Churchill's Estates Grande Reserva 2014	DOC Douro	2014	8.6	0.26	0.41	2.2	Churchill Graham, Lda	0.049	29	111	0.9941	2.96	0.44	10	5
Churchill's Estates Reserva 2009	DOC Douro	2009	7.5	0.21	0.34	1.2	Churchill Graham, Lda	0.06	26	111	0.9931	3.51	0.47	10.7	6
Churchill's Estates Touriga Nacional 2007	DOC Douro	2007	7.2	0.51	0.24	10	Churchill Graham, Lda	0.093	35	197	0.9981	3.41	0.47	9	5
Ciconia Reserva 2013	Regional Alentejo	2013	7.5	0.21	0.34	1.2	Casa Agrcola Alexandre Relvas, Lda	0.06	26	111	0.9931	3.51	0.47	10.7	6
Cillar de Silos Tempranillo 2007	Espanha	2007	5.3	0.3	0.2	1.1	Cillar de Silos	0.077	48	166	0.9944	3.3	0.54	8.7	4
Cimarosa Gran Reserva Syrah 2005	Chile	2005	8	0.26	0.36	2	Via Wine Group	0.054	30	121	0.992	3.09	0.72	11.6	7
Circus Malbec	Argentina		7	0.21	0.28	7.5	Bodegas Escorihuela Gascn	0.07	45	185	0.9966	3.34	0.55	9.4	5
Cistus 2001	DOC Douro	2001	6.7	0.26	0.26	4	Quinta do Vale da Perdiz - Sociedade Agrcola, Lda	0.079	35.5	216	0.9956	3.31	0.68	9.5	5
Cistus 2005	DOC Douro	2005	6.7	0.26	0.26	4.1	Quinta do Vale da Perdiz - Sociedade Agrcola, Lda	0.073	36	202	0.9956	3.3	0.67	9.5	5
Cistus Grande Reserva 2009	DOC Douro	2009	8.1	0.26	0.37	1.9	Quinta do Vale da Perdiz - Sociedade Agrcola, Lda	0.072	48	159	0.9949	3.37	0.7	10.9	6
Cistus Reserva 2007	DOC Douro	2007	8.3	0.22	0.38	14.8	Quinta do Vale da Perdiz - Sociedade Agrcola, Lda	0.054	32	126	1.0002	3.22	0.5	9.7	5
Cistus Reserva 2011	DOC Douro	2011	6.4	0.3	0.51	5.5	Quinta do Vale da Perdiz - Sociedade Agrcola, Lda	0.048	62	172	0.9942	3.08	0.45	9.1	6
Cistus Reserva 2013	DOC Douro	2013	7.5	0.19	0.34	2.6	Quinta do Vale da Perdiz - Sociedade Agrcola, Lda	0.037	33	125	0.9923	3.1	0.49	11.1	7
Cistus Reserva 2015	DOC Douro	2015	8.8	0.33	0.44	6.35	Quinta do Vale da Perdiz - Sociedade Agrcola, Lda	0.024	9	87	0.9917	2.96	0.4	12.6	7
Clarendelle 2004	Frana	2004	6.9	0.2	0.36	1.5	Clarence Dillon Wines S.A.S.	0.031	38	147	0.9931	3.35	0.56	11	6
Clarendelle 2007	Frana	2007	8	0.37	0.32	1.6	Clarence Dillon Wines S.A.S.	0.04	32	166	0.992	3	0.55	11.3	7
Claudia's Reserve 2009	DOC Douro	2009	8.3	0.22	0.38	14.8	Vinoquel - Vinhos scar Quevedo Lda	0.054	32	126	1.0002	3.22	0.5	9.7	5
Clocharte 2014	DOC Vinhos Verdes	2014	8.2	0.29	0.33	9.1	Pedro Machado	0.036	28	118	0.9953	2.96	0.4	10.9	7
Clo Reserva 2005	Regional Alentejo	2005	7.7	0.34	0.3	8	Portugal Farm, Casa Agrcola, Lda	0.048	25	192	0.9951	2.97	0.47	10.9	5
Clnic 2008	Espanha	2008	6.2	0.55	0.45	12	Cellar Ced Anguera, SL	0.049	27	186	0.9974	3.17	0.5	9.3	6
Clos Apalta 2000	Chile	2000	6.4	0.4	0.19	3.2	Casa Lapostolle S.A.	0.033	28	124	0.9904	3.22	0.54	12.7	7
Clos de los Siete 2009	Argentina	2009	7.5	0.28	0.33	7.7	Clos de los Siete, S.A.	0.048	42	180	0.9974	3.37	0.59	10.1	6
Clos de los Siete 2014	Argentina	2014	7.8	0.26	0.44	1.3	Clos de los Siete, S.A.	0.037	43	132	0.9944	3.18	0.65	10	5
Clos Martinet 2002	Espanha	2002	6.5	0.26	0.34	16.3	Mas Martinet Viticultors S. L.	0.051	56	197	1.0004	3.49	0.42	9.8	5
Clos Martinet 2008	Espanha	2008	6.3	0.34	0.29	6.2	Mas Martinet Viticultors S. L.	0.046	29	227	0.9952	3.29	0.53	10.1	6
Cloudy Bay Sauvignon Blanc 2009	Nova Zelndia	2009	6.8	0.15	0.33	4.7	Cloudy Bay Vineyards Ltd	0.059	31	118	0.9956	3.43	0.39	9	7
Cloudy Bay Sauvignon Blanc 2012	Nova Zelndia	2012	6.3	0.27	0.25	5.8	Cloudy Bay Vineyards Ltd	0.038	52	155	0.995	3.28	0.38	9.4	6
Cloudy Bay Sauvignon Blanc 2016	Nova Zelndia	2016	6.3	0.27	0.25	5.8	Cloudy Bay Vineyards Ltd	0.038	52	155	0.995	3.28	0.38	9.4	6
Club Lealtanza Reserva 2005	Espanha	2005	7.4	0.2	0.37	16.95	Bodegas Altanza	0.048	43	190	0.9995	3.03	0.42	9.2	6
Colares Chitas Reserva 1999	DOC Estremadura	1999	6.3	0.23	0.21	5.1	Antnio Bernardino Paulo da Silva	0.035	29	142	0.9942	3.36	0.33	10.1	7
Colares Chitas Reserva 2003	DOC Estremadura	2003	7.3	0.31	0.69	10.2	Antnio Bernardino Paulo da Silva	0.041	58	160	0.9977	3.06	0.45	8.6	5
Colares Fundao Oriente 2004	Regional Estremadura	2004	5.2	0.24	0.45	3.8	Fundao Stanley Ho	0.027	21	128	0.992	3.55	0.49	11.2	8
Colares Malvasia 2014	DOC Lisboa	2014	7	0.24	0.32	1.3	Quinta das Vinhas de Areia Sociedade Agrcola, Lda	0.037	39	123	0.992	3.17	0.42	11.2	8
Colares Ramisco 2003	DOC Estremadura	2003	7.4	0.2	0.37	16.95	Quinta das Vinhas de Areia Sociedade Agrcola, Lda	0.048	43	190	0.9995	3.03	0.42	9.2	6
Coldstream Hills Chardonnay 2003	Austrlia	2003	7	0.17	0.33	4	Coldstream Hills	0.034	17	127	0.9934	3.19	0.39	10.6	7
Colheita do Scio Reserva 2006	DOC Beiras	2006	8.3	0.21	0.58	17.1	Adega Cooperativa da Covilh, CRL	0.049	62	213	1.0006	3.01	0.51	9.3	6
Colheita do Scio Reserva 2005	DOC Beiras	2005	7.2	0.21	0.35	14.5	Adega Cooperativa da Covilh, CRL	0.048	35	178	0.9982	3.05	0.47	8.9	6
Colheita do Scio Reserva 2012	DOC Beiras	2012	7.1	0.21	0.4	1.2	Adega Cooperativa da Covilh, CRL	0.069	24	156	0.9928	3.42	0.43	10.6	6
Colinas 2013	DOC Bairrada	2013	8.4	0.17	0.31	6.7	Sociedade Agricola Colinas de S. Loureno, Lda	0.038	29	132	0.9945	3.1	0.32	10.6	7
Colinas Grande Reserva Chardonnay 2009	DOC Bairrada	2009	7.4	0.24	0.31	8.4	Sociedade Agricola Colinas de S. Loureno, Lda	0.045	52	183	0.9963	3.09	0.32	8.8	5
Colombo 2016	DOC Madeira	2016	5.3	0.24	0.33	1.3	Justino's Madeira Wines, S.A.	0.033	25	97	0.9906	3.59	0.38	11	8
Colom Estate Malbec 2005	Argentina	2005	6.5	0.28	0.26	8.8	Bodegas Colom	0.04	44	139	0.9956	3.32	0.37	10.2	6
Colom Estate Malbec 2006	Argentina	2006	6.3	0.23	0.21	5.1	Bodegas Colom	0.035	29	142	0.9942	3.36	0.33	10.1	7
Colom Estate Malbec 2014	Argentina	2014	6.5	0.29	0.25	10.6	Bodegas Colom	0.039	32	120	0.9962	3.31	0.34	10.1	6
Colom Estate Malbec 2015	Argentina	2015	5.8	0.29	0.21	2.6	Bodegas Colom	0.025	12	120	0.9894	3.39	0.79	14	7
Colom Estate Malbec 2016	Argentina	2016	6.3	0.27	0.25	5.8	Bodegas Colom	0.038	52	155	0.995	3.28	0.38	9.4	6
Colom Estate Torronts 2007	Argentina	2007	6.3	0.17	0.42	2.8	Bodegas Colom	0.028	45	107	0.9908	3.27	0.43	11.8	6
Colom Estate Torronts 2017	Argentina	2017	6.3	0.16	0.4	1.6	Bodegas Colom	0.033	59	148	0.9914	3.44	0.53	11.4	5
Colossal Reserva 2015	Regional Lisboa	2015	7.9	0.29	0.39	6.7	Casa Santos Lima - Companhia das Vinhas S.A.	0.036	6	117	0.9938	3.12	0.42	10.7	5
Colossal Reserva 2017	Regional Lisboa	2017	7.3	0.31	0.69	10.2	Casa Santos Lima - Companhia das Vinhas S.A.	0.041	58	160	0.9977	3.06	0.45	8.6	5
Comenda Grande Reserva 2004	DOC Alentejo	2004	5.5	0.32	0.45	4.9	Monte da Comenda Grande	0.028	25	191	0.9922	3.51	0.49	11.5	7
Companhia das Lezrias 2005	Regional Ribatejo	2005	5.2	0.24	0.45	3.8	Companhia das Lezrias, SA	0.027	21	128	0.992	3.55	0.49	11.2	8
Companhia das Lezrias Aragons 2008	DOC Tejo	2008	7.2	0.37	0.15	2	Companhia das Lezrias, SA	0.029	27	87	0.9903	3.3	0.59	12.6	7
Companhia das Lezrias Reserva 2008	DOC Tejo	2008	6.1	0.29	0.27	1.7	Companhia das Lezrias, SA	0.024	13	76	0.9893	3.21	0.51	12.6	7
Complexus Reserva 2010	DOC Douro	2010	9.2	0.22	0.4	2.4	Sabores Gourmet, Lda	0.054	18	151	0.9952	3.04	0.46	9.3	4
Conceito 2006	DOC Douro	2006	7.2	0.37	0.15	2	Conceito - Sociedade de Vinhos, Lda	0.029	27	87	0.9903	3.3	0.59	12.6	7
Conceito 2009	DOC Douro	2009	8	0.18	0.37	1.3	Conceito - Sociedade de Vinhos, Lda	0.04	15	96	0.9912	3.06	0.61	12.1	6
Conceito 2011	DOC Douro	2011	6.5	0.22	0.34	12	Conceito - Sociedade de Vinhos, Lda	0.053	55	177	0.9983	3.52	0.44	9.9	6
Conceito 9 [magnum] 2006	DOC Douro	2006	7.4	0.18	0.4	1.6	Conceito - Sociedade de Vinhos, Lda	0.047	22	102	0.9937	3.28	0.44	10.7	5
Conceito Alvarinho 2010	DOC Douro	2010	6.5	0.52	0.17	1.4	Conceito - Sociedade de Vinhos, Lda	0.047	5	26	0.9932	3.26	0.32	10	4
Conceito Meio Doce 2006	DOC Douro	2006	7	0.15	0.38	2.2	Conceito - Sociedade de Vinhos, Lda	0.047	33	96	0.9928	3.13	0.39	10.4	8
Conceito Sauvignon Blanc 2010	Nova Zelndia	2010	5.9	0.415	0.13	1.4	Conceito - Sociedade de Vinhos, Lda	0.04	11	64	0.9922	3.29	0.52	10.5	5
Concha y Toro Sauvignon Blanc Late Harvest 2003	Chile	2003	8.1	0.45	0.34	8.3	Via Concha y Toro S.A.	0.037	33	216	0.9976	3.31	0.64	9.7	5
Conde de Palma 2006	DOC Alentejo	2006	5.8	0.415	0.13	1.4	Do Sul - Sociedade Vitincola, SA	0.04	11	64	0.9922	3.29	0.52	10.5	5
Conde de Sabugal 2006	DOC Douro	2006	6.4	0.5	0.16	12.9	Do Sul - Sociedade Vitincola, SA	0.042	26	138	0.9974	3.28	0.33	9	5
Conde de Santar 2005	DOC Do	2005	6.7	0.105	0.32	12.4	Sociedade Agrcola de Santar, SA	0.051	34	106	0.998	3.54	0.45	9.2	6
Conde de Vimioso 2003	Regional Ribatejo	2003	6	0.4	0.3	1.6	Falua - Sociedade de Vinhos S.A.	0.047	30	117	0.9931	3.17	0.48	10.1	6
Conde de Vimioso 2004	Regional Ribatejo	2004	6.6	0.25	0.39	1.45	Falua - Sociedade de Vinhos S.A.	0.04	40	89	0.9911	3.35	0.4	11.4	7
Conde de Vimioso Colheita Seleccionada 2009	Regional Tejo	2009	9.8	0.36	0.45	1.6	Falua - Sociedade de Vinhos S.A.	0.042	11	124	0.9944	2.93	0.46	10.8	5
Conde de Vimioso Colheita Seleccionada 2009	Regional Tejo	2009	9.6	0.23	0.4	1.5	Falua - Sociedade de Vinhos S.A.	0.044	19	135	0.9937	2.96	0.49	10.9	5
Conde de Vimioso Colheita Seleccionada 2011	Regional Tejo	2011	6.3	0.55	0.45	13	Falua - Sociedade de Vinhos S.A.	0.047	33	182	0.9974	3.2	0.46	9.2	6
Conde de Vimioso Colheita Seleccionada 2011	Regional Tejo	2011	6.5	0.115	0.29	1.95	Falua - Sociedade de Vinhos S.A.	0.038	73	166	0.989	3.12	0.25	12.9	7
Conde de Vimioso Reserva 2001	Regional Ribatejo	2001	6.4	0.125	0.29	5.85	Falua - Sociedade de Vinhos S.A.	0.042	24	99	0.992	3.23	0.32	12	7
Conde de Vimioso Reserva 2007	Regional Tejo	2007	5.7	0.1	0.27	1.3	Falua - Sociedade de Vinhos S.A.	0.047	21	100	0.9928	3.27	0.46	9.5	5
Conde de Vimioso Reserva 2008	Regional Tejo	2008	7.9	0.25	0.29	5.3	Falua - Sociedade de Vinhos S.A.	0.031	33	117	0.9918	3.06	0.32	11.8	7
Conde de Vimioso Reserva 2011	Regional Tejo	2011	6.9	0.2	0.28	1.2	Falua - Sociedade de Vinhos S.A.	0.048	36	159	0.9936	3.19	0.43	9.1	6
Conde de Vimioso Reserva 2012	Regional Tejo	2012	6.9	0.23	0.34	4	Falua - Sociedade de Vinhos S.A.	0.047	24	128	0.9944	3.2	0.52	9.7	6
Conde de Vimioso Reserva 2014	Regional Tejo	2014	6.8	0.39	0.31	14.35	Falua - Sociedade de Vinhos S.A.	0.043	28	162	0.9988	3.17	0.54	9.1	5
Conde de Vimioso Reserva 2015	Regional Tejo	2015	8.7	0.22	0.42	2.3	Falua - Sociedade de Vinhos S.A.	0.053	27	114	0.994	2.99	0.43	10	5
Conde de Vimioso Reserva 2017	Regional Tejo	2017	7.4	0.41	0.34	4.7	Falua - Sociedade de Vinhos S.A.	0.042	19	127	0.9953	3.25	0.42	10.4	5
Conde d'Ervideira Reserva 2000	DOC Alentejo	2000	6.7	0.25	0.34	12.85	Ribeira da Ervideira, Lda	0.048	30	161	0.9986	3.44	0.47	9.5	6
Conde d'Ervideira Reserva 2003	DOC Alentejo	2003	6	0.26	0.42	5.2	Ribeira da Ervideira, Lda	0.027	70	178	0.9914	3.4	0.4	12.3	8
Conde d'Ervideira Reserva 2004	DOC Alentejo	2004	6.1	0.31	0.37	8.4	Ribeira da Ervideira, Lda	0.031	70	170	0.9934	3.42	0.4	11.7	8
Conde d'Ervideira Reserva 2006	DOC Alentejo	2006	9.2	0.28	0.46	3.2	Ribeira da Ervideira, Lda	0.058	39	133	0.996	3.14	0.58	9.5	5
Conde d'Ervideira Reserva 2007	DOC Alentejo	2007	9	0.31	0.49	6.9	Ribeira da Ervideira, Lda	0.034	26	91	0.9937	2.99	0.34	11.5	5
Conde d'Ervideira Reserva 2010	DOC Alentejo	2010	8.5	0.16	0.33	1	Ribeira da Ervideira, Lda	0.076	17	57	0.9921	3.14	0.46	10.6	6
Conde d'Ervideira Reserva 2010	DOC Alentejo	2010	9.3	0.34	0.49	7.3	Ribeira da Ervideira, Lda	0.052	30	146	0.998	3.17	0.61	10.2	5
Conde d'Ervideira Reserva 2011	DOC Alentejo	2011	9.2	0.28	0.46	3.2	Ribeira da Ervideira, Lda	0.058	39	133	0.996	3.14	0.58	9.5	5
Conde d'Ervideira Reserva 2012	DOC Alentejo	2012	7.2	0.24	0.3	1.6	Ribeira da Ervideira, Lda	0.048	27	131	0.9933	3.25	0.45	10.5	5
Conde d'Ervideira Reserva 2013	DOC Alentejo	2013	7.2	0.25	0.32	1.5	Ribeira da Ervideira, Lda	0.047	27	132	0.9933	3.26	0.44	10.5	5
Conde d'Ervideira Reserva 2014	DOC Alentejo	2014	6.8	0.32	0.18	7.5	Ribeira da Ervideira, Lda	0.041	71	223	0.9959	3.14	0.41	8.9	5
Conde d'Ervideira Reserva 2015	DOC Alentejo	2015	9.1	0.27	0.32	1.1	Ribeira da Ervideira, Lda	0.031	15	151	0.9936	3.03	0.41	10.6	5
Conde d'Ervideira Reserva 2015	DOC Alentejo	2015	8.9	0.34	0.32	1.3	Ribeira da Ervideira, Lda	0.041	12	188	0.9953	3.17	0.49	9.5	5
Conde d'Ervideira Reserva 2016	DOC Alentejo	2016	7	0.17	0.37	5.7	Ribeira da Ervideira, Lda	0.025	29	111	0.9938	3.2	0.49	10.8	6
Conde d'Ervideira Reserva 2017	DOC Alentejo	2017	6.7	0.25	0.23	7.2	Ribeira da Ervideira, Lda	0.038	61	220	0.9952	3.14	0.35	9.5	5
Conde d'Ervideira Vinho da gua 2015	DOC Alentejo	2015	6.9	0.32	0.17	7.6	Ribeira da Ervideira, Lda	0.042	69	219	0.9959	3.13	0.4	8.9	5
Conde d'Ervideira Vinho da gua 2016	DOC Alentejo	2016	6.8	0.32	0.18	7.5	Ribeira da Ervideira, Lda	0.041	71	223	0.9959	3.14	0.41	8.9	5
Conde Villar 2013	DOC Vinhos Verdes	2013	6.1	0.6	0	1.3	Quinta das Arcas Sociedade Agrcola, Lda	0.042	24	79	0.9937	3.31	0.38	9.4	4
Conde Villar Alvarinho 2015	Regional Vinhos Verdes	2015	5.3	0.395	0.07	1.3	Quinta das Arcas Sociedade Agrcola, Lda	0.035	26	102	0.992	3.5	0.35	10.6	6
Conde Villar 2017	DOC Vinhos Verdes	2017	7.9	0.16	0.3	4.8	Quinta das Arcas Sociedade Agrcola, Lda	0.037	37	171	0.9967	3.47	0.44	9	4
Conde Villar 2017	DOC Vinhos Verdes	2017	7.6	0.33	0.36	2.1	Quinta das Arcas Sociedade Agrcola, Lda	0.034	26	172	0.9944	3.42	0.48	10.5	4
Conde Villar Alentejo 2017	Regional Alentejo	2017	7.8	0.3	0.29	16.85	Quinta das Arcas Sociedade Agrcola, Lda	0.054	23	135	0.9998	3.16	0.38	9	6
Conde Villar Alentejo 2017	DOC Alentejo	2017	7.8	0.3	0.29	16.85	Quinta das Arcas Sociedade Agrcola, Lda	0.054	23	135	0.9998	3.16	0.38	9	6
Conde Villar Alvarinho 2012	Regional Vinhos Verdes	2012	5.7	0.26	0.27	4.1	Quinta das Arcas Sociedade Agrcola, Lda	0.201	73.5	189.5	0.9942	3.27	0.38	9.4	6
Conde Villar Alvarinho 2014	Regional Vinhos Verdes	2014	7.8	0.3	0.29	16.85	Quinta das Arcas Sociedade Agrcola, Lda	0.054	23	135	0.9998	3.16	0.38	9	6
Conde Villar Alvarinho 2017	Regional Vinhos Verdes	2017	7.5	0.14	0.34	1.3	Quinta das Arcas Sociedade Agrcola, Lda	0.055	50	153	0.9945	3.29	0.8	9.6	6
Conde Villar Alvarinho & Trajadura 2017	DOC Vinhos Verdes	2017	7.8	0.3	0.29	16.85	Quinta das Arcas Sociedade Agrcola, Lda	0.054	23	135	0.9998	3.16	0.38	9	6
Conde Villar Loureiro 2017	DOC Vinhos Verdes	2017	6.6	0.25	0.41	7.4	Quinta das Arcas Sociedade Agrcola, Lda	0.043	29	151	0.9946	3.15	0.6	10.2	7
