Name;Region;Year;Color;Castes;AlcoholPercentage;Producer;MinimunPrice;MaximumPrice;Judge;JudgeRating;Date;JudgeNotes
Anselmo Mendes Contacto Alvarinho 2013;DOC Vinhos Verdes;2013;White;Alvarinho;13.0;Anselmo Mendes Vinhos, Lda;7.5;10.0;Anselmo Mendes;16.5;Julho 2015;Cor amarela citrina e nariz muito vivo e elegante, com exuberantes aromas florais, de fruta tropical e notas minerais a combinarem na perfeiá∆o com um delicado toque vegetal, na boca Ç um vinho intenso, cheio de frescura e com uma bela acidez, revela um paladar frutado e limonado, muito bem acompanhado por sugestivos apontamentos minerais, termina com um final de boca de comprimento mÇdio/alto.
Anselmo Mendes Contacto Alvarinho 2014;DOC Vinhos Verdes;2014;White;Alvarinho;13.0;Anselmo Mendes Vinhos, Lda;7.5;10.0;Anselmo Mendes;16.5;Novembro 2015;Apresenta uma cor amarela citrina e um nariz agradavelmente dominado pelos aromas minerais e limonados, acompanhados por breves notas de fruta tropical e algum vegetal, na boca Ç um vinho volumoso, com uma bela acidez e um paladar expressivo, rico em fruta e notas c°tricas, alÇm de uma evidente componente mineral, o final de boca termina de uma forma prolongada.
Anselmo Mendes Contacto Alvarinho 2015;DOC Vinhos Verdes;2015;White;Alvarinho;13.0;Anselmo Mendes Vinhos, Lda;7.5;10.0;Anselmo Mendes;16.0;Outubro 2016;Apresenta uma cor amarela l°mpida e um nariz bem preenchido por aromas de fruta tropical madura envolvidos por uma certa mineralidade e nuances c°tricas e florais, na boca Ç um vinho equilibrado e muito fresco, com uma boa acidez e uma mineralidade bem evidente, no paladar destaca-se a frescura da fruta e das notas citrinas, alÇm da sua acidez e estrutura, terminando com um final de boca medianamente prolongado e persistente.
Anselmo Mendes Contacto Alvarinho 2016;DOC Vinhos Verdes;2016;White;Alvarinho;13.0;Anselmo Mendes Vinhos, Lda;7.5;10.0;Anselmo Mendes;16.0;Outubro 2017;Cor amarelo p†lido e nariz frutado e rico em aromas de citrinos e atÇ vegetais, num fundo subtilmente mineral e mais floral, na boca Ç um vinho correcto, equilibrado e fresco, onde revela uma acidez agrad†vel e um paladar bem preenchido pela fruta tropical e por frescas nuances de citrinos, o final de boca termina com uma express∆o mÇdia.
Anselmo Mendes Contacto Alvarinho 2017;DOC Vinhos Verdes;2017;White;Alvarinho;13.0;Anselmo Mendes Vinhos, Lda;7.5;10.0;Anselmo Mendes;16.5;Janeiro 2019;Apresenta uma cor amarela citrina e um nariz rico em notas de fruta tropical maduras misturadas com breves nuances vegetais e minerais, num fundo delicadamente limonado, na boca revela frescura, equil°brio e uma agrad†vel acidez, com o paladar a evidenciar notas minerais e frutadas, o final de boca termina seco e com um comprimento acima da mÇdia.
Anselmo Mendes Contacto Alvarinho 2018;DOC Vinhos Verdes;2018;White;Alvarinho;13.0;Anselmo Mendes Vinhos, Lda;7.5;10.0;Anselmo Mendes;16.5;Dezembro 2019;Apresenta uma cor citrina e um nariz rico em aromas de fruta tropical madura misturados com frescas notas florais e minerais, na boca Ç um vinho t∆o equilibrado quanto fresco e uma acidez bem presente, no paladar destaca-se a fruta tropical envolvida por sugestivas nuances citrinas e minerais, o final de boca termina com um comprimento bem acima da mÇdia e uma persistància muito interessante.
Anselmo Mendes Parcela Ènica 2017;DOC Vinhos Verdes;2017;White;Alvarinho;13.0;Anselmo Mendes Vinhos, Lda;25.0;50.0;Anselmo Mendes;16.5;Abril 2019;Apresenta uma cor citrina e um nariz elegante, onde se destacam os aromas minerais e c°tricos acompanhados por breves notas frutadas e uma subtil sensaá∆o fumada e tostada, na boca Ç um vinho complexo, com um bom volume e uma acidez bem presente, no paladar realce para a envolvància existente entre a fruta e as notas limonadas em perfeita harmonia com a sua componente mineral, terminando com um final de boca relativamente prolongado.
Anta da Serra 2003;DOC Alentejo;2003;Red;Trincadeira, Aragonez, Alicante Bouschet e Cabernet Sauvignon;13.0;Adega Cooperativa de Redondo, CRL;2.0;4.0;Pedro Hip¢lito;13.0;Janeiro 2005;Frutos vermelhos evidenciados no aroma e final de boca mÇdio mas a revelar algum equilibrio.
Ant∆o Vaz da Peceguina 2006;Regional Alentejo;2006;White;Ant∆o Vaz;14.0;Herdade da Malhadinha Nova, SA;10.0;12.5;Lu°s Duarte e Pedro Garcia;16.0;Junho 2008;Cor amarela suave e aromas intensos de frutos e tambÇm algumas flores, na boca est† volumoso, com uma acidez equilibrada e boa estrutura, Ç um vinho gordo que termina de forma longa.
Ant∆o Vaz da Peceguina 2008;Regional Alentejo;2008;White;Ant∆o Vaz;14.0;Herdade da Malhadinha Nova, SA;10.0;12.5;Lu°s Duarte e Pedro Garcia;15.5;Maio 2010;Apresenta uma cor palha com uma certa tonalidade dourada, o nariz revela aromas tostados, fumados e delicadas sensaá‰es minerais, na boca aparece a fruta madura e alguns citrinos, num fundo bem tostado, o final tem uma persistància mediana.
Ant∆o Vaz da Peceguina 2012;Regional Alentejo;2012;White;Ant∆o Vaz;13.0;Herdade da Malhadinha Nova, SA;12.5;15.0;Lu°s Duarte e Nuno Gonzalez;15.5;Maio 2013;Cor amarela delicada e nariz agradavelmente preenchido por aromas de fruta tropical envolvidas em subtis sugest‰es c°tricas, na boca Ç um vinho equilibrado, com um volume interessante e uma estrutura mediana, revela um paladar frutado e ligeiramente especiado, terminando com um comprimento e uma persistància de express∆o mÇdias.
Anthilia 2007;It†lia;2007;White;Cataratto e Ansonica;13.0;Donna Fugata;4.0;7.5;Antonio Rallo, Stefano Valla e Carlo Ferrini;15.0;Abril 2011;Apresenta uma cor amarela de delicada tonalidade dourada e esverdeada, o nariz revela alguma maá∆ verde acompanhada de fruta bem madura e alguns citrinos, na boca Ç um vinho f†cil, mais vegetal e citrino que frutado e onde se nota uma ligeira falta de acidez, termina de forma mediana, em termos de comprimento e persistància.
Ant°tese 2012;Regional Lisboa;2012;White;Pinot Grigio e Arinto;13.0;Ricardo Carraáa dos Santos, Vinhos, Lda;4.0;7.5;Ricardo Santos;15.5;Outubro 2013;Cor citrina p†lida e nariz agradavelmente preenchido por notas florais, algum mel e delicadas notas de frutos secos e fruta madura, na boca Ç um vinho equilibrado, com uma acidez mediana e um paladar mais frutado e citrino, o final de boca tem um comprimento curto/mÇdio.
Ant¢nio Maria 2002;Regional Alentejo;2002;Red;Alicante Bouschet e Cabernet Sauvignon;14.0;Francisco Fernandes Garcia Unipessoal, Lda;50.0;75.0;Jo∆o Mel°cias;17.5;Abril 2007;Aromas fortes de frutos pretos, taninos ainda por polir o que d† a entender que ainda evolui bem em garrafa, volume de boca cheio e denso, a madeira ainda se nota muito ao de leve, sendo que Ç encorpado e muito estruturado, final longo e muito frutado.
Ant¢nio Saramago Reserva 2005;DOC Pen°nsula de Set£bal;2005;Red;Castel∆o;14.0;Ant¢nio Saramago - Vinhos, Lda;10.0;12.5;Ant¢nio Saramago;17.5;Outubro 2011;Apresenta uma cor rubi intensa e um nariz muito concentrado, misturando muito bem as frescas notas de fruta madura com a complexas sugest‰es tostadas e especiadas, na boca Ç um vinho com bom volume, estruturado e com uns taninos ricos, continua frutado, mostra um agrad†vel potencial de envelhecimento e um final bem persistente.
Ant¢nio Saramago Reserva 2009;Regional Pen°nsula de Set£bal;2009;Red;Castel∆o, Touriga Nacional e Alicante Bouschet;14.0;Ant¢nio Saramago - Vinhos, Lda;10.0;12.5;Ant¢nio Saramago;17.0;Outubro 2011;Apresenta uma cor rubi carregada e intensa, com um nariz rico em notas de fruta preta aliadas a delicadas sugest‰es de tosta, tabaco e especiarias, num fundo mais qu°mico e atÇ balsÉmico, na boca Ç um vinho profundo e volumoso, com uns taninos firmes e um paladar cheio de fruta negra, especiarias, barrica e um leve toque apimentado, termina de uma forma prolongada e persistente.
Ant¢nio Saramago Reserva 2010;Regional Pen°nsula de Set£bal;2010;Red;Castel∆o, Touriga Nacional e Alicante Bouschet;14.5;Ant¢nio Saramago - Vinhos, Lda;10.0;12.5;Ant¢nio Saramago;16.5;Abril 2015;Cor rubi intensa e nariz rico em fruta madura e complexas notas de especiarias agradavelmente misturados com sugest‰es de tabaco e tambÇm um leve balsÉmico, na boca Ç um vinho equilibrado, com um agrad†vel volume e taninos s¢lidos, revela um paladar cheio de fruta vermelha madura, bem como subtis notas apimentadas e de barrica, terminando com um final de boca de comprimento e persistància bem acima da mÇdia.
Ant¢nio Saramago Reserva 2014;Regional Pen°nsula de Set£bal;2014;Red;Castel∆o, Alicante Bouschet e Touriga Nacional;14.5;Ant¢nio Saramago - Vinhos, Lda;12.5;15.0;Ant¢nio Saramago;16.5;Maráo 2019;Cor rubi profunda e nariz rico em aromas de fruta vermelha e preta, muito bem envolvidos pela barrica e por breves mas elegantes notas fumadas, tostadas e especiadas, na boca Ç um vinho harmonioso, estruturado e com um bom volume, os taninos revelam fineza e ao mesmo tempo uma forte presenáa, com o paladar a mostrar-se mais frutado e compotado, alÇm de revelar notas de barrica e algumas especiarias, o final de boca termina com um comprimento e persistància muito interessantes.
Apegadas 2006;DOC Douro;2006;RosÇ;Touriga Nacional e Touriga Franca;12.0;Quinta das Apegadas, Sociedade Agr°cola, Lda;4.0;7.5;Rui Cunha;15.0;Outubro 2007;Cor avermelhada e aromas florais e algo frutados, o paladar Ç fresco e equilibrado, complexidade e final medianos.
Apegadas 2007;DOC Douro;2007;White;Viosinho, Rabigato e Malvasia Fina;12.5;Quinta das Apegadas, Sociedade Agr°cola, Lda;4.0;7.5;Rui Cunha;15.0;Janeiro 2009;Cor p†lida e aromas intensamente frutados, notas de anan†s e alguma manga, na boca a fruta est† um pouco mais discreta, aparecem algumas sugest‰es citr°nas e o final embora algo seco est† agrad†vel.
Apegadas 2007;DOC Douro;2007;RosÇ;Touriga Nacional, Touriga Franca e Tinta Roriz;13.0;Quinta das Apegadas, Sociedade Agr°cola, Lda;4.0;7.5;Rui Cunha;14.5;Outubro 2009;Cor bem vermelha, no nariz s∆o not¢rios os frutos vermelhos e um profundo floral, na boca tem uma interessante frescura e um acidez equilibrada, o final Ç mÇdio no comprimento.
Apegadas Quinta Velha 2005;DOC Douro;2005;Red;Touriga Nacional, Touriga Franca, Tinta Roriz e Tinta Barroca;13.0;Quinta das Apegadas, Sociedade Agr°cola, Lda;7.5;10.0;Rui Cunha;15.5;Julho 2008;Aromas frutados bem vivos, bem acompanhados por notas florais e vegetais, na boca tem um perfil correcto, equilibrado e frutado, boa acidez e estrutura, final mÇdio e persistente.
Apegadas Quinta Velha 2007;DOC Douro;2007;Red;Touriga Nacional, Touriga Franca, Tinta Roriz e Tinta Barroca;14.0;Quinta das Apegadas, Sociedade Agr°cola, Lda;7.5;10.0;Rui Cunha;16.0;Janeiro 2010;Cor avermelhada e aromas muitos frescos e frutados, aliados a leves mas bem agrad†veis notas florais e a um certo especiado e tostado que ganham preponderÉncia no evoluir da prova, na boca Ç um vinho saboroso, onde a fruta aparece dominante, os taninos macios e bem polidos, conta com uma acidez bem interessante e um final de comprimento e persistància acima da mÇdia.
Apegadas Quinta Velha Grande Reserva 2007;DOC Douro;2007;Red;Touriga Nacional, Touriga Franca e Tinta Barroca;14.5;Quinta das Apegadas, Sociedade Agr°cola, Lda;20.0;25.0;Rui Cunha;17.5;Janeiro 2010;Apresenta uma cor opaca no centro e uma aurÇola brilhante, com forte tonalidade violeta, no nariz destaque para a subtileza dos aromas florais, dos frutos pretos e compota, da elegÉncia das notas abaunilhadas e de um certo mineral, j† no paladar, o vinho surpreende pela sua vivacidade e profundidade, revela uma acidez e frescura fant†sticas, uma estrutura e complexidade enormes e uma riqueza de sabores invulgar, sobressaindo a fruta, as notas florais, um leve chocolate e atÇ um certo balsÉmico, o final Ç longo, guloso e de grande persistància.
Apegadas Quinta Velha Reserva 2010;DOC Douro;2010;Red;Touriga Nacional, Touriga Franca, Tinta Roriz e Tinta Barroca;14.5;Quinta das Apegadas, Sociedade Agr°cola, Lda;12.5;15.0;Rui Cunha;16.0;Junho 2013;Apresenta uma cor rubi de forte intensidade e um nariz agradavelmente preenchido por notas florais, frutos silvestres e delicadas sugest‰es de especiarias e algum chocolate, na boca Ç um vinho estruturado e volumoso, com uns taninos firmes e um paladar cheio de fruta, diversas especiarias e alguma barrica, o final de boca tem um comprimento e persistància acima da mÇdia.
Aphros Aether Loureiro & Sauvignon 2012;Regional Vinhos Verdes;2012;White;Loureiro e Sauvignon Blanc;12.0;Casal Paáo Padreiro - Sociedade Vitivin°cola, Lda;7.5;10.0;Pedro Bravo e Rui Cunha;16.0;Setembro 2013;Apresenta uma bonita cor amarela com um nariz cheio de aroams florais e de fruta tropical, misturados com um fresco toque limonado e mineral, na boca denota uma bela acidez e uma estrutura muito agrad†vel, revela um paladar mais c°trico que frutado e uma forte mineralidade, o final de boca Ç bem persistente.
Aphros Loureiro 2012;DOC Vinhos Verdes;2012;White;Loureiro;12.0;Casal Paáo Padreiro - Sociedade Vitivin°cola, Lda;7.5;10.0;Pedro Bravo e Rui Cunha;16.0;Agosto 2013;Apresenta uma cor amarela de tonalidade citrina e um nariz perfumado por aromas florais e c°tricos, acompanhados por uma delicada sensaá∆o vegetal e sugestivas nuances minerais, na boca Ç um elegante e fino, com uma bela acidez e uma secura bem presente, conta com um paladar cremoso e fresco, cheio de fruta e notas citrinas bem presentes, o final de boca Ç relativamente prolongado.
Aphros Loureiro 2015;DOC Vinhos Verdes;2015;White;Loureiro;11.5;Casal Paáo Padreiro - Sociedade Vitivin°cola, Lda;7.5;10.0;Pedro Bravo e JosÇ Carvalheira;15.5;Junho 2018;Cor amarelo citrino e nariz rico em aromas florais e de fruta tropical madura, alÇm de frescas sugest‰es c°tricas e minerais, na boca Ç um muito equilibrado e vivo, com uma acidez bem presente e uma leve secura, o paladar revela imensas notas citrinas e de anan†s, num fundo mais mineral, o final de boca termina com um comprimento e uma persistància muito interessantes.
Aphros Ten Loureiro 2013;DOC Vinhos Verdes;2013;White;Loureiro;12.0;Casal Paáo Padreiro - Sociedade Vitivin°cola, Lda;4.0;7.5;Pedro Bravo e Rui Cunha;16.0;Novembro 2014;Cor amarelo p†lido e nariz muito fresco e arom†tico, onde as notas florais e c°tricas se misturam com leves sugest‰es de fruta tropical e atÇ algum maracuj†, num fundo claramente mineral, na boca Ç um vinho atractivo, com uma acidez vibrante e um paladar rico em nuances limonadas, minerais e de fruta madura, o final de boca Ç algo seco e revela um comprimento acima da mÇdia.
Aprendiz 2010;DOC Douro;2010;Red;Touriga Nacional, Tinta Roriz, Touriga Franca e Tinta Barroca;13.5;Sociedade Agr°cola e Comercial dos Vinhos Messias, S. A.;4.0;7.5;Jo∆o Soares e Ana Urbano;15.5;Fevereiro 2013;Cor rubi de mÇdia concentraá∆o e nariz muito floral e rico em frutos silvestres e subtis sugest‰es especiadas, na boca Ç um vinho delicado, com taninos redondos e um paladar acima de tudo, frutado, o final de boca tem um comprimento curto/mÇdio e uma persistància interessante.
Aragonàs da Peceguina 2007;Regional Alentejo;2007;Red;Aragonez;14.5;Herdade da Malhadinha Nova, SA;15.0;20.0;Lu°s Duarte e Pedro Garcia;16.5;Setembro 2011;Apresenta uma cor rubi de agrad†vel concentraá∆o e um nariz fino e bem preenchido por aromas de fruta vermelha misturados com delicadas sugest‰es florais e uma tosta muito subtil, na boca Ç um vinho suave, elegante e muito equilibrado, revela uma textura sedosa e um paladar rico em notas de fruta, alguma barrica e especiarias, o final Ç prolongado e com boa persistància.
Aragonàs S∆o Miguel dos Descobridores 2005;Regional Alentejo;2005;Red;Aragonàs;13.0;Casa Agr°cola Alexandre Relvas, Lda;4.0;7.5;Lu°s Duarte e Nuno Franco;14.5;Dezembro 2010;Apresenta uma cor intensa e um nariz ligeiramente evolu°do, onde a fruta madura e j† em passa aparece misturada com notas de couro e especiarias, na boca Ç um vinho macio e delicado, com alguma fruta e mais especiado, termina de forma mediana.
Aragonàs S∆o Miguel dos Descobridores 2006;Regional Alentejo;2006;Red;Aragonàs;14.0;Casa Agr°cola Alexandre Relvas, Lda;4.0;7.5;Lu°s Duarte e Nuno Franco;15.5;Janeiro 2011;Apresenta uma cor avermelhada e um nariz relativamente expressivo aromaticamente, onde os frutos vermelhos e uma ligeira sensaá∆o de especiarias dominam o conjunto, na boca Ç um vinho equilibrado, redondo e fresco, a fruta continua bem presente aliada a uma subtil madeira, o final tem um comprimento mÇdio/longo.
Arco de Curiel 2004;Espanha;2004;Red;Tempranillo;14.0;Bodegas Arco de Curiel S.L.;4.0;7.5;Isaac Fern†ndez;14.0;Junho 2008;Cor rubi com pouca concentraá∆o, no nariz a fruta Ç ligeira, bem como algumas sugest‰es a especiarias, o paladar Ç equilibrado, de volume mÇdio, sendo um vinho indicado para o dia-a-dia, demonstra um final mediano e macio.
Ardosino 2002;DOC Douro;2002;Red;Touriga Franca, Tinta Barroca, Tinta Roriz, Sous∆o, Touriga Nacional e Tinta Amarela;13.0;Quinta da Carvalhosa - Sociedade Agr°cola, Lda;7.5;10.0;Bernhard Breuer, Bernd Philippi e Werner NÑkel;16.0;Fevereiro 2007;Fruta negra no nariz e alguma especiaria, o paladar Ç rico e o corpo cheio, algo vegetal e balsÉmico, final mediano mas bem agrad†vel.
Arenae Colares Malvasia 2008;DOC Estremadura;2008;White;Malvasia;12.5;Adega Regional de Colares, C.R.L.;10.0;12.5;Francisco Figueiredo e Jorge P†scoa;15.5;Maráo 2014;Apresenta uma cor de tonalidade amarela e dourada e um nariz dominado pela fruta e citrinos bem maduros, misturados com subtis nuances de flores secas e madeira ex¢tica tambÇm, na boca revela-se um vinho com alguma estrutura e algo seco, com um paladar frutado e ligeiramente tostado, o final de boca tem um comprimento curto/mÇdio.
Arenae Colares Malvasia 2014;DOC Lisboa;2014;White;Malvasia;12.0;Adega Regional de Colares, C.R.L.;10.0;12.5;Francisco Figueiredo e Jorge P†scoa;15.0;Novembro 2017;Apresenta uma cor amarela de tonalidade delicadamente dourada, no nariz sobressai a fruta madura e breves notas c°tricas e atÇ salinas em conjunto com uma delicada sensaá∆o mineral, na boca Ç um vinho delicado, com uma acidez agrad†vel e um paladar frutado e ligeiramente c°trico, que termina com um final de boca de express∆o mediana mas ao mesmo tempo saborosa.
Arenae Colares Ramisco 2007;DOC Estremadura;2007;Red;Ramisco;12.5;Adega Regional de Colares, C.R.L.;10.0;12.5;Francisco Figueiredo;16.0;Fevereiro 2019;Cor granada aberta e nariz delicadamente frutado, acompanhado por breves notas vegetais e resinosas, num fundo subtilmente balsÉmico, na boca Ç um vinho agrad†vel, com taninos presentes mas nada pesados, revela alguma estrutura e um volume mediano mas saboroso, no paladar volta a destacar-se a fruta vermelha e o final de boca termina com um comprimento mÇdio.
Ares de Medeiros 2017;Regional Alentejo;2017;White;Arinto, Viognier e Verdelho;12.5;Tahora, Lda;4.0;7.5;Pedro Ribeiro;15.0;Junho 2020;Cor citrina com laivos esverdeados, o nariz revela delicadas notas de fruta acompanhadas por subtis nuances c°tricas e minerais, na boca Ç um vinho delicado, com uma acidez correcta e um paladar preenchido por notas limonadas e frutadas, o final de boca termina algo seco e com um comprimento de express∆o curta.
Arm†n Finca Os Loureiros 2011;Espanha;2011;White;Alvarinho, Godello e Trajadura;13.5;Bodegas Casal de Arm†n, S.L.;12.5;15.0;Felic°simo Pereira;16.5;Janeiro 2015;Cor amarela brilhante e nariz rico em aromas de fruta madura envolvidas por expressivas notas de especiarias e de baunilha, bem como alguma tosta e um delicado toque vegetal, na boca Ç um vinho cremoso, com estrutura e muito fresco, onde revela um paladar saboroso, rico em fruta e sugestivas notas de barrica, terminando de uma forma bem elegante, prolongada e persistente.
Aromas das Castas Alvarinho & Trajadura 2011;DOC Vinhos Verdes;2011;White;Alvarinho e Trajadura;12.5;Quinta da Lixa - Sociedade Agr°cola, Lda;4.0;7.5;Carlos Teixeira;15.5;Junho 2012;Cor amarela e nariz rico em notas de fruta tropical madura, pàra e ainda uma leve sensaá∆o floral, na boca Ç um vinho leve e muito fresco, que apresenta uma acidez agrad†vel e um paladar marcado pelas sugest‰es c°tricas e tambÇm alguma fruta, o final de boca tem um comprimento e persistància medianos.
Arrepiado 2007;Regional Alentejo;2007;Red;Touriga Nacional, Petit Verdot, Syrah e Cabernet Sauvignon;14.5;Sociedade Agr°cola da Herdade do Arrepio Velho, Lda;20.0;25.0;Ant¢nio Maáanita;17.0;Abril 2011;Apresenta uma cor carregada no centro, quase opaca e um rebordo viol†ceo, o nariz revela um bela complexidade de aromas e denota ainda muita juventude, apesar disso, s∆o j† not¢rios os frutos negros misturados com leves sensaá‰es balsÉmicas, tosta e atÇ algum tabaco, na boca Ç um vinho estruturado, encorpado mas ao mesmo tempo suave e envolvente, revela um estilo guloso, muita fruta preta e taninos firmes, o final Ç prolongado e persistente.
Artefacto Colheita Seleccionada Syrah 2010;Regional Alentejo;2010;Red;Syrah;14.5;Lu°s Duarte Vinhos, Lda;7.5;10.0;Lu°s Duarte;16.0;Julho 2012;Apresenta uma cor rubi intensa no centro e uma aurÇola de tonalidade viol†cea, o nariz revela evidentes notas de frutos pretos misturados com delicadas especiarias e um certo mentolado, num fundo mais achocolatado e compotado, na boca Ç um vinho equilibrado, com um volume mÇdio e uma estrutura agrad†vel, conta com uns taninos redondos e um paladar frutado e especiado, com as notas de barrica a conferirem alguma complexidade ao conjunto, o final de boca tem um comprimento mÇdio/longo e uma persistància interessante.
Artesis Cìtes du Rhìne 2015;Franáa;2015;Red;Grenache, Syrah e Mourvädre;14.5;Antoine Ogier;7.5;10.0;Leonce Amouroux;15.5;Outubro 2016;Cor avermelhada e nariz delicadamente preenchido por aromas de fruta vermelha fresca acompanhados por subtis notas vegetais e atÇ florais, num fundo subtilmente apimentado, na boca Ç um vinho equilibrado, com taninos redondos e um volume mÇdio, no paladar destaca-se a fruta envolvida por breves notas apimentadas e especiadas e o final de termina com um comprimento mÇdio.
Artigues Arnaud 2001;Franáa (Pauillac);2001;Red;Cabernet Sauvignon e Merlot;12.5;SC ChÉteau Grand Puy Ducasse;10.0;12.5;;14.5;Novembro 2006;Aromas intensos a fruta madura, acompanhados de algum pimento, mais evidente no paladar, taninos suaves e final de boca mÇdio mas de agrad†vel prova.
As Sortes 2011;Espanha;2011;White;Godello;13.5;Rafael Palacios;25.0;50.0;Rafael Palacios;17.5;Maio 2014;Apresenta uma cor amarela brilhante com delicados apontamentos dourados, no nariz revela uma elegÉncia not†vel, com os aromas florais e minerais, muito bem envolvidos com nobres notas de barrica, algum fumo e tosta, subtis nuances c°tricas e atÇ um leve toque de frutos secos e tambÇm de fruta madura, na boca Ç um vinho harmonioso, profundo e encorpado, conta com uma acidez acetinada e um paladar rico em notas minerais e de fruta mmadura, envolvidas com sÇrios apontamentos especiados e tostados, bem como alguma baunilha, citrinos maduros e um leve toque torrado, o final de boca Ç longo e de grande persistància.
Assobio 2009;DOC Douro;2009;Red;Touriga Nacional, Tinta Roriz e Touriga Franca;13.5;Espor∆o S.A.;7.5;10.0;David Baverstock e Lu°s Patr∆o;15.5;Maio 2011;Cor rubi no centro e aurÇola delicadamente violeta, o nariz revela imensas notas florais e frutos silvestres combinados com algumas especiarias e uma delicada sugest∆o vegetal, na boca Ç um vinho equilibrado e muito frutado, onde o paladar demonstra macieza e uma agrad†vel envolvància de sabores, termina com um comprimento e persistància medianos.
Assobio 2010;DOC Douro;2010;Red;Touriga Nacional, Tinta Roriz e Touriga Franca;13.5;Espor∆o S.A.;7.5;10.0;David Baverstock, Lu°s Patr∆o e Michael Wren;15.0;Junho 2012;Cor rubi de mÇdia concentraá∆o, o nariz revela notas florais misturadas com frutos silvestres e delicadas nuances de especiarias, na boca Ç um vinho equilibrado, de acidez correcta e taninos redondos, conta com um paladar frutado e ligeiramente especiado, terminando com um comprimento e persistància mÇdios.
Assobio 2011;DOC Douro;2011;Red;Touriga Nacional, Tinta Roriz e Touriga Franca;14.0;Espor∆o S.A.;4.0;7.5;David Baverstock, Lu°s Patr∆o e Michael Wren;16.0;Maráo 2015;Cor rubi de tonalidade viol†cea, o nariz apresenta sugestivos aromas de frutos vermelhos e do bosque misturados com um delicado toque floral, especiado e atÇ vegetal, na boca Ç um vinho muito equilibrado, com taninos finos e redondos e um volume bem interessante, o paladar Ç completamente dominado pela fruta madura, secundada por um subtil toque de barrica e por leves notas de especiarias que conferem uma certa complexidade ao conjunto, o final de boca tem um comprimento e uma persistància relativamente prolongados.
Assobio 2012;DOC Douro;2012;Red;Touriga Nacional, Tinta Roriz, Touriga Franca e outras;14.0;Espor∆o S.A.;4.0;7.5;David Baverstock, Lu°s Patr∆o e Michael Wren;15.5;Dezembro 2014;Cor rubi de tonalidade avermelhada e nariz fresco, onde os aromas florais e de fruta vermelha se misturam com suaves notas vegetais, na boca Ç um vinho equilibrado, muito redondo e de volume mÇdio, revela um paladar rico em fruta madura e delicadas nuances de especiarias, bem como um evidente toque vegetal, o final de boca tem um comprimento mÇdio.
Assobio 2013;DOC Douro;2013;RosÇ;Touriga Nacional, Tinta Roriz, Tinta Francisca e Touriga Franca;13.5;Espor∆o S.A.;4.0;7.5;David Baverstock, Sandra Alves e Michael Wren;15.5;Julho 2015;Cor vermelha intensa e nariz rico em fruta vermelha e notas de cerejas, acompanhadas por suaves apontamentos florais, na boca Ç um vinho fresco e destaca-se uma ligeira doáura, revela um paladar muito frutado e delicado e termina com um final de boca de comprimento e persistància de express∆o mÇdia.
Assobio 2013;DOC Douro;2013;White;Viosinho, Rabigato e Gouveio;13.5;Espor∆o S.A.;4.0;7.5;David Baverstock, Sandra Alves e Michael Wren;15.0;Maio 2015;Cor citrina e nariz muito arom†tico, onde as frescas notas florais e de citrinos se misturam com a fruta madura e um ligeiro toque mineral, na boca Ç um vinho muito agrad†vel, com uma acidez interessante e uma frescura sempre presente, conta com um paladar rico em fruta tropical e sugest‰es minerais e algo limonadas, o final de boca revela um comprimento e um persistància de express∆o mÇdia.
Assobio 2014;DOC Douro;2014;Red;Tinta Roriz, Touriga Franca e Touriga Nacional;14.0;Espor∆o S.A.;4.0;7.5;David Baverstock, Lu°s Patr∆o e Michael Wren;15.0;Dezembro 2015;Cor rubi de tonalidade avermelhada e nariz fresco, onde os aromas florais e de fruta vermelha se misturam com suaves notas vegetais, na boca Ç um vinho equilibrado, muito redondo e de volume mÇdio, revela um paladar rico em fruta madura e delicadas nuances de especiarias, bem como um evidente toque vegetal, o final de boca tem um comprimento mÇdio.
Assobio 2015;DOC Douro;2015;RosÇ;Touriga Nacional, Tinto C∆o e Rufete;13.5;Espor∆o S.A.;4.0;7.5;David Baverstock, Sandra Alves e Michael Wren;15.0;Novembro 2016;Cor salm∆o de tonalidade avermelhada e nariz rico em fruta vermelha e delicadas nnotas florais, na boca Ç um vinho equilibrado e ligeiramente seco, com uma acidez mediana e um paladar rico em fruta vermelha bem fresca, o final de boca termina de uma forma pouco expressiva mas agrad†vel.
Astobiza Vendimia Tardia 2016;Espanha;2016;White;Izkiriota;12.0;Bodegas Astobiza;15.0;20.0;Ana Mart°n Onzain e Pepe Hidalgo;16.0;Maio 2019;Cor amarela dourada brilhante e nariz rico em aromas de fruta madura envolvidos por sugestivas notas meladas e de frutos secos, num fundo subtilmente marcado por breves nuances c°tricas, na boca Ç um vinho equilibrado e muito fresco, com uma agrad†vel estrutura e untuosidade bem presente, no paladar destaca-se novamente a harmonia existente entre o mel e a fruta, em conjunto com breves sugest‰es minerais, terminando com um final de boca de interessante persistància.
